"ID","Prediction"
1,0.92500000000000004441
2,0.56071428571428572063
3,0.92500000000000004441
4,0.39642857142857140795
5,0.68928571428571427937
6,0.62857142857142855874
7,0.89642857142857146346
8,0.96071428571428574283
9,0.86071428571428576504
10,0.96071428571428574283
11,0.99285714285714288252
12,0.94999999999999995559
13,0.80000000000000004441
14,0.99642857142857144126
15,1.00000000000000000000
16,0.86428571428571432378
17,1.00000000000000000000
18,0.46071428571428568732
19,0.36785714285714288252
20,0.26428571428571429047
21,0.53571428571428569843
22,0.99642857142857144126
23,0.88928571428571423496
24,0.38928571428571429047
25,0.61785714285714288252
26,0.98214285714285709528
27,0.59285714285714286031
28,1.00000000000000000000
29,0.99642857142857144126
30,1.00000000000000000000
31,0.56428571428571427937
32,0.98571428571428576504
33,1.00000000000000000000
34,0.99642857142857144126
35,0.99642857142857144126
36,0.88928571428571423496
37,0.25357142857142855874
38,0.43214285714285716189
39,0.86785714285714288252
40,0.47142857142857141906
41,0.97499999999999997780
42,0.56785714285714283811
43,0.20357142857142856984
44,0.97857142857142853654
45,0.80357142857142860315
46,0.95714285714285718409
47,0.99285714285714288252
48,0.99285714285714288252
49,1.00000000000000000000
50,0.92142857142857137465
51,0.99642857142857144126
52,0.33214285714285712858
53,1.00000000000000000000
54,0.98928571428571432378
55,1.00000000000000000000
56,0.28214285714285713969
57,0.62857142857142855874
58,0.55357142857142860315
59,1.00000000000000000000
60,0.94285714285714283811
61,0.81071428571428572063
62,0.58571428571428574283
63,0.98928571428571432378
64,0.86428571428571432378
65,0.99285714285714288252
66,0.99642857142857144126
67,0.99642857142857144126
68,0.99642857142857144126
69,0.45714285714285712858
70,0.40000000000000002220
71,0.25357142857142855874
72,0.45357142857142856984
73,1.00000000000000000000
74,1.00000000000000000000
75,0.46071428571428568732
76,0.63214285714285711748
77,0.98928571428571432378
78,0.72857142857142853654
79,0.91071428571428569843
80,0.99642857142857144126
81,0.74642857142857144126
82,0.51785714285714290472
83,0.38928571428571429047
84,0.97857142857142853654
85,0.99642857142857144126
86,0.31428571428571427937
87,0.98928571428571432378
88,0.99642857142857144126
89,0.99642857142857144126
90,0.52857142857142858094
91,0.98928571428571432378
92,0.82857142857142862535
93,0.99642857142857144126
94,0.99285714285714288252
95,0.75714285714285711748
96,0.25000000000000000000
97,0.84642857142857141906
98,0.40000000000000002220
99,0.95714285714285718409
100,0.93571428571428572063
101,0.97142857142857141906
102,0.98571428571428576504
103,0.98928571428571432378
104,0.26785714285714284921
105,0.97857142857142853654
106,0.99642857142857144126
107,0.38214285714285711748
108,0.99642857142857144126
109,1.00000000000000000000
110,0.92857142857142860315
111,0.98571428571428576504
112,0.99285714285714288252
113,0.98928571428571432378
114,0.81428571428571427937
115,0.59285714285714286031
116,0.98571428571428576504
117,0.56071428571428572063
118,0.81428571428571427937
119,0.99642857142857144126
120,0.99642857142857144126
121,1.00000000000000000000
122,1.00000000000000000000
123,1.00000000000000000000
124,0.99642857142857144126
125,0.85714285714285709528
126,0.99285714285714288252
127,1.00000000000000000000
128,0.91785714285714281591
129,1.00000000000000000000
130,0.33214285714285712858
131,0.99285714285714288252
132,1.00000000000000000000
133,1.00000000000000000000
134,1.00000000000000000000
135,1.00000000000000000000
136,0.99285714285714288252
137,0.52500000000000002220
138,0.31785714285714283811
